Subject,Trial,VisType,Damage,Distance,TimeD,InOut
1,110,Ensemble,6,69.456,1,1
1,111,Ensemble,4,223.285,0,0
1,112,Ensemble,7,148.856,0,1
1,113,Ensemble,5,-353.534,0,0
1,114,Ensemble,4,-173.639,1,1
1,115,Ensemble,4,-277.822,1,1
1,116,Ensemble,3,353.534,0,0
1,117,Ensemble,3,520.917,1,0
1,118,Ensemble,5,277.822,1,1
1,119,Ensemble,3,-279.106,0,0
1,120,Ensemble,6,-69.456,1,1
1,121,Ensemble,7,-37.214,0,1
1,122,Ensemble,2,-520.917,1,0
1,123,Ensemble,3,416.733,1,0
1,124,Ensemble,6,-69.456,1,1
1,125,Ensemble,6,173.639,1,1
1,126,Ensemble,6,353.534,0,0
1,127,Ensemble,1,520.917,1,0
1,128,Ensemble,2,659.828,1,0
1,129,Ensemble,2,520.917,1,0
1,130,Ensemble,7,37.214,0,1
1,131,Ensemble,6,69.456,1,1
1,132,Ensemble,6,-93.035,0,1
1,133,Ensemble,4,277.822,1,1
1,134,Ensemble,7,-37.214,0,1
1,135,Ensemble,3,-416.733,1,0
1,136,Ensemble,3,223.285,0,0
1,137,Ensemble,1,-353.534,0,0
1,138,Ensemble,1,-659.828,1,0
1,139,Ensemble,4,353.534,0,0
1,140,Ensemble,1,659.828,1,0
1,141,Ensemble,3,-659.828,1,0
1,142,Ensemble,4,-223.285,0,0
1,143,Ensemble,6,93.035,0,1
1,144,Ensemble,1,-279.106,0,0
1,145,Ensemble,5,-277.822,1,1
1,146,Ensemble,5,69.456,1,1
1,147,Ensemble,4,279.106,0,0
2,4,ConeOnly,6,416.733,1,0
2,5,ConeOnly,6,-173.639,1,1
2,6,ConeOnly,3,353.534,0,0
2,7,ConeOnly,3,279.106,0,0
2,8,ConeOnly,4,223.285,0,0
2,9,ConeOnly,6,148.856,0,1
2,10,ConeOnly,5,-279.106,0,0
2,11,ConeOnly,6,277.822,1,1
2,12,ConeOnly,5,416.733,1,0
2,13,ConeOnly,3,-353.534,0,0
2,14,ConeOnly,4,-659.828,1,0
2,15,ConeOnly,4,148.856,0,1
2,16,ConeOnly,5,173.639,1,1
2,17,ConeOnly,3,-279.106,0,0
2,18,ConeOnly,5,-69.456,1,1
2,19,ConeOnly,5,148.856,0,1
2,20,ConeOnly,6,69.456,1,1
2,21,ConeOnly,4,-353.534,0,0
2,22,ConeOnly,5,-69.456,1,1
2,23,ConeOnly,4,-223.285,0,0
2,24,ConeOnly,6,-69.456,1,1
2,25,ConeOnly,4,659.828,1,0
2,26,ConeOnly,4,416.733,1,0
2,27,ConeOnly,4,279.106,0,0
2,28,ConeOnly,3,659.828,1,0
2,29,ConeOnly,3,-416.733,1,0
2,30,ConeOnly,4,277.822,1,1
2,31,ConeOnly,3,-416.733,1,0
2,32,ConeOnly,3,659.828,1,0
2,33,ConeOnly,2,-659.828,1,0
2,34,ConeOnly,4,-223.285,0,0
2,35,ConeOnly,4,37.214,0,1
2,36,ConeOnly,3,93.035,0,1
2,37,ConeOnly,3,223.285,0,0
2,38,ConeOnly,3,-520.917,1,0
2,39,ConeOnly,4,-223.285,0,0
2,40,ConeOnly,5,93.035,0,1
2,41,ConeOnly,5,-93.035,0,1
2,42,ConeOnly,6,277.822,1,1
2,43,ConeOnly,6,-37.214,0,1
2,44,ConeOnly,6,37.214,0,1
2,45,ConeOnly,7,-277.822,1,1
2,46,ConeOnly,4,520.917,1,0
2,47,ConeOnly,5,-223.285,0,0
2,48,ConeOnly,6,93.035,0,1
2,49,ConeOnly,5,-148.856,0,1
2,50,ConeOnly,3,-659.828,1,0
2,51,ConeOnly,4,-93.035,0,1
2,52,ConeOnly,3,-223.285,0,0
2,53,ConeOnly,3,353.534,0,0
2,54,ConeOnly,3,-353.534,0,0
2,55,ConeOnly,4,-416.733,1,0
2,56,ConeOnly,6,173.639,1,1
2,57,ConeOnly,3,-659.828,1,0
2,58,ConeOnly,4,223.285,0,0
2,59,ConeOnly,5,37.214,0,1
2,60,ConeOnly,4,-223.285,0,0
2,61,ConeOnly,6,-277.822,1,1
2,62,ConeOnly,4,353.534,0,0
2,63,ConeOnly,6,37.214,0,1
2,64,ConeOnly,4,279.106,0,0
2,65,ConeOnly,7,-69.456,1,1
2,66,ConeOnly,6,37.214,0,1
2,67,ConeOnly,3,520.917,1,0
2,68,ConeOnly,7,173.639,1,1
2,69,ConeOnly,3,-279.106,0,0
2,70,ConeOnly,6,-69.456,1,1
2,71,ConeOnly,3,-353.534,0,0
2,72,ConeOnly,4,416.733,1,0
2,73,ConeOnly,5,-93.035,0,1
2,74,ConeOnly,4,-520.917,1,0
2,75,ConeOnly,3,353.534,0,0
2,76,ConeOnly,3,-520.917,1,0
2,77,ConeOnly,4,-416.733,1,0
2,78,ConeOnly,4,-279.106,0,0
2,79,ConeOnly,5,-148.856,0,1
2,80,ConeOnly,6,-37.214,0,1
2,81,ConeOnly,6,93.035,0,1
2,82,ConeOnly,7,69.456,1,1
2,83,ConeOnly,5,-416.733,1,0
2,84,ConeOnly,4,279.106,0,0
2,85,ConeOnly,5,-93.035,0,1
2,86,ConeOnly,6,-277.822,1,1
2,87,ConeOnly,6,148.856,0,1
2,88,ConeOnly,4,279.106,0,0
2,89,ConeOnly,3,-659.828,1,0
2,90,ConeOnly,6,-173.639,1,1
2,91,ConeOnly,5,-37.214,0,1
2,92,ConeOnly,5,-173.639,1,1
2,93,ConeOnly,5,-277.822,1,1
2,94,ConeOnly,4,223.285,0,0
2,95,ConeOnly,4,148.856,0,1
2,96,ConeOnly,5,93.035,0,1
2,97,ConeOnly,3,-520.917,1,0
2,98,ConeOnly,2,-659.828,1,0
2,99,ConeOnly,4,520.917,1,0
2,100,ConeOnly,4,223.285,0,0
2,101,ConeOnly,5,148.856,0,1
2,102,ConeOnly,2,659.828,1,0
2,103,ConeOnly,5,277.822,1,1
2,104,ConeOnly,5,93.035,0,1
2,105,ConeOnly,5,-37.214,0,1
2,106,ConeOnly,7,69.456,1,1
2,107,ConeOnly,7,69.456,1,1
2,108,ConeOnly,4,-279.106,0,0
2,109,ConeOnly,5,-148.856,0,1
2,110,ConeOnly,7,173.639,1,1
2,111,ConeOnly,7,-173.639,1,1
2,112,ConeOnly,7,-173.639,1,1
2,113,ConeOnly,6,69.456,1,1
2,114,ConeOnly,5,-93.035,0,1
2,115,ConeOnly,4,279.106,0,0
2,116,ConeOnly,5,-93.035,0,1
2,117,ConeOnly,3,-353.534,0,0
2,118,ConeOnly,3,-37.214,0,1
2,119,ConeOnly,2,659.828,1,0
2,120,ConeOnly,2,-353.534,0,0
2,121,ConeOnly,4,277.822,1,1
2,122,ConeOnly,4,-520.917,1,0
2,123,ConeOnly,3,520.917,1,0
2,124,ConeOnly,5,-148.856,0,1
2,125,ConeOnly,6,-69.456,1,1
2,126,ConeOnly,4,520.917,1,0
2,127,ConeOnly,3,223.285,0,0
2,128,ConeOnly,6,277.822,1,1
2,129,ConeOnly,3,416.733,1,0
2,130,ConeOnly,3,353.534,0,0
2,131,ConeOnly,7,69.456,1,1
2,132,ConeOnly,6,-277.822,1,1
2,133,ConeOnly,5,-416.733,1,0
2,134,ConeOnly,5,416.733,1,0
2,135,ConeOnly,6,-148.856,0,1
2,136,ConeOnly,4,-279.106,0,0
2,137,ConeOnly,3,520.917,1,0
